,GPP_1km,RECO_1km,T2_1km,SWDOWN_1km,NEE_1km,GPP_9km,RECO_9km,T2_9km,SWDOWN_9km,NEE_9km,GPP_54km,RECO_54km,T2_54km,SWDOWN_54km,NEE_54km,GPP_CAMS,RECO_CAMS,T2_CAMS,SWDOWN_CAMS,NEE_CAMS
2012-01-20 00:00:00,0.0,1.100943922996521,-1.1989997545847875,0.0,1.100943922996521,0.0,0.9628175199465522,-1.7949593697968818,0.0,0.9628175199465522,0.0,1.0258417458232185,-0.988934199590449,0.0,1.0258417458232185,0.0,0.3985797481687541,3.0019618549546863,0.0,0.3985797481687541
2012-01-20 01:00:00,0.0,1.0761770009994507,-1.3514405414038688,0.0,1.0761770009994507,0.0,0.9759641663007188,-1.7360782763628686,0.0,0.9759641663007188,0.0,1.0318770532716317,-0.9386637336444653,0.0,1.0318770532716317,0.0,0.3944169511720172,2.9616943960676068,0.0,0.3944169511720172
2012-01-20 02:00:00,0.0,1.0570186376571655,-1.4823808325668826,0.0,1.0570186376571655,0.0,0.9787168189796618,-1.733397777119831,0.0,0.9787168189796618,0.0,1.023980077451927,-0.9870047123276692,0.0,1.023980077451927,0.0,0.3902541541752803,2.9214269371805273,0.0,0.3902541541752803
2012-01-20 03:00:00,0.0,1.042142629623413,-1.5957957429750973,0.0,1.042142629623413,0.0,0.970433233035339,-1.7623751723444174,0.0,0.970433233035339,0.0,0.9947365185299358,-1.1653270726579332,0.0,0.9947365185299358,0.0,0.3860913571785434,2.8811594782934478,0.0,0.3860913571785434
2012-01-20 04:00:00,0.0,1.021608829498291,-1.7576914560578283,0.0,1.021608829498291,0.0,0.9546208620593147,-1.8727673073157125,0.0,0.9546208620593147,0.0,0.9665756882937812,-1.3178919696437223,0.0,0.9665756882937812,5.752487879655488e-05,0.3752507742215411,2.5280034333131374,0.0,0.3751932493427445
2012-01-20 05:00:00,0.0,0.9941769242286682,-1.965890981179474,0.0,0.9941769242286682,0.0,0.940302227386143,-2.0249489983951476,0.0,0.940302227386143,0.0,0.9125492139592504,-1.6819691346863046,0.0,0.9125492139592504,0.00011504975759310976,0.3644101912645388,2.174847388332827,0.0,0.36429514150694564
2012-01-20 06:00:00,0.0,0.9629249572753906,-2.1643794346992205,0.0,0.9629249572753906,0.0,0.9264099374742687,-2.129086935962971,0.0,0.9264099374742687,0.0,0.9066576087940328,-1.683785750985568,0.0,0.9066576087940328,0.00017257463638966464,0.3535696083075364,1.8216913433525168,0.0,0.3533970336711468
2012-01-20 07:00:00,0.0006905138725414872,0.9379538297653198,-2.3435987542416683,2.4835305213928223,0.9372633099555969,0.0017961810733805263,0.8873327398010361,-2.379051464065334,2.755929400126118,0.8855365587276556,0.0008730578475278376,0.89813419696014,-1.755155766289004,2.614870796486432,0.8972611391126121,0.28448485340200724,0.35744915861702936,1.8610129177810277,11.28885139561341,0.07296430521502212
2012-01-20 08:00:00,0.04203645512461662,0.9797829985618591,-2.1112295615821677,76.20545959472656,0.937746524810791,0.0634790497656128,0.9636691413344046,-1.8592784444886392,84.68240404844173,0.9001900915687918,0.029941557860509525,0.9177587325000542,-1.611546952052077,91.1436096131761,0.8878171746395447,0.5687971321676248,0.36132870892652236,1.9003344922095387,22.57770279122682,-0.20746842324110248
2012-01-20 09:00:00,0.07475436478853226,0.9898775815963745,-2.1506896121346406,153.68772888183594,0.9151232242584229,0.11265351098867359,1.0084709469615112,-1.6643629297022768,166.28824314275062,0.8958174359728376,0.0764874034045979,0.9423382855431425,-1.5066640079868456,182.1789944138969,0.8658508821385446,0.8531094109332426,0.3652082592360153,1.9396560666380496,33.86655418684023,-0.48790115169722725
2012-01-20 10:00:00,0.09603369235992432,0.9894794821739197,-2.3295717046167406,208.985107421875,0.8934457898139954,0.15153104914872906,1.0047720711194799,-1.788094137741894,216.2291032567977,0.8532410219707508,0.13996630118960648,0.9627487988320028,-1.4824368570240978,251.75429165308583,0.8227824976423963,0.965804671796665,0.38140118252089983,2.092475028095574,72.41422028344678,-0.5844034892757651
2012-01-20 11:00:00,0.10676460713148117,0.9848702549934387,-2.536130121708958,234.7946319580078,0.878105640411377,0.16022497492415003,0.9719867597968938,-2.1729245244396718,236.73982297937317,0.8117617848727438,0.15602778608967127,0.9387498289538123,-1.7400134467660704,282.50108692054386,0.782722042864141,1.0784999326600873,0.3975941058057843,2.245293989553099,110.96188638005334,-0.6809058268543029
2012-01-20 12:00:00,0.1083412766456604,0.9751408696174622,-2.7788560400084807,228.032470703125,0.8667995929718018,0.14160227214303117,0.9289098717131823,-2.6081527260758928,237.35804558075338,0.7873075995701511,0.1551038938493544,0.9069214006876971,-2.0179604757055785,280.8267718688916,0.7518175068383427,1.1911951935235097,0.41378702909066883,2.3981129510106234,149.5095524766599,-0.7774081644328408
2012-01-20 13:00:00,0.10234249383211136,0.9584627151489258,-3.054489828834879,198.72642517089844,0.856120228767395,0.11781182462210595,0.8775655335385744,-3.0770618780460355,212.77385001754934,0.7597537089164684,0.14286273884005776,0.8689248954776512,-2.345827073365547,242.22967118080743,0.7260621566375934,0.9481639515073471,0.39771505256614875,2.1402218360209666,139.4335821133142,-0.5504488989411984
2012-01-20 14:00:00,0.08599574118852615,0.9326958656311035,-3.3585791055550906,145.6602325439453,0.846700131893158,0.070978033582171,0.8175464744688372,-3.5214202653216358,151.12305106835615,0.7465684408866662,0.11160286765104134,0.8174883864751682,-2.803576561853009,170.27921733078676,0.7058855188241269,0.7051327094911846,0.38164307604162867,1.8823307210313096,129.35761174996847,-0.3234896334495559
2012-01-20 15:00:00,0.04550623893737793,0.8669026494026184,-3.8805047444645875,67.63938903808594,0.8213964104652405,0.028170417237481444,0.7371783287682977,-4.070673172512545,70.21602715637192,0.7090079115308162,0.04802819305411383,0.7295623512879971,-3.477188715437876,81.92161524094976,0.6815341582338832,0.462101467475022,0.3655710995171086,1.6244396060416526,119.28164138662277,-0.09653036795791342
