datetime,dT_calc_mean_9km,dT_model_mean_9km,dGPP_calc_mean_9km,dGPP_model_mean_9km,dGPP_real_mean_9km,dRECO_calc_mean_9km,dRECO_model_mean_9km,dRECO_real_mean_9km,dT_calc_mean_54km,dT_model_mean_54km,dGPP_calc_mean_54km,dGPP_model_mean_54km,dGPP_real_mean_54km,dRECO_calc_mean_54km,dRECO_model_mean_54km,dRECO_real_mean_54km
2012-01-20 00:00:00,-0.6689740326055422,-4.3003633251748825,0.0,0.0,0.0,-0.1136592811513925,-0.8736368753230297,-0.8849359906212998,-1.1091435477174358,-4.291030946582433,0.0,0.0,0.0,-0.18378841896221706,-0.9050865751128049,-0.9261537148781328
2012-01-20 01:00:00,-0.6617169425233881,-4.382232179032996,0.0,0.0,0.0,-0.13572896280210345,-0.8765256142482346,-0.9143451039109105,-0.9406934022700532,-4.1592642601500165,0.0,0.0,0.0,-0.17528917316733988,-0.8432294335572554,-0.8474172315304445
2012-01-20 02:00:00,-0.9290438555975031,-3.7749246193544708,0.0,0.0,0.0,-0.1972311655465785,-0.7845061978962673,-0.8776582961689623,-1.2837082360007546,-4.521603030758304,0.0,0.0,0.0,-0.22575732225920594,-0.9073230348871045,-0.8811534124876791
2012-01-20 03:00:00,-0.6621052366241696,-4.0107787124753935,0.0,0.0,0.0,-0.10216865821004868,-0.8077570211840676,-0.8712226784907197,-1.1900474556750202,-4.979258379598302,0.0,0.0,0.0,-0.18380027645746194,-0.9934164395881638,-1.0612337040671735
2012-01-20 04:00:00,-0.8454476954297319,-3.8271958886123283,0.0,0.0,0.0,-0.16955922564063533,-0.8403937595516123,-1.0131969107651129,-1.1985601925268408,-5.073168312631002,0.0,0.0,0.0,-0.2232968165289001,-1.0899828497540696,-1.3084536166307403
2012-01-20 05:00:00,-1.3243530142015025,-4.818626157699093,0.0,0.0,0.0,-0.27824651265575634,-1.032242523131542,-1.102772732478316,-2.2777235833180103,-6.099695133257516,0.0,0.0,0.0,-0.45190062065774755,-1.2891872128683237,-1.3967502861720433
2012-01-20 06:00:00,-1.3382248903910319,-4.4938016060071115,0.0,0.0,0.0,-0.2714808075940849,-0.9330778460953556,-0.9545488719451123,-2.554362477620443,-5.790076818221655,0.0,0.0,0.0,-0.5056097475351401,-1.1671563225452104,-1.2155215995332114
2012-01-20 07:00:00,-1.0067200877977456,-5.046105094577955,2.6425899604732252e-05,-0.0012825467743036185,-0.0012879563983223866,-0.1773317405053106,-1.0648855781686992,-1.0817758799290311,-2.2494920101995053,-4.871164736540421,0.00021381432565194616,-0.002482124791220042,0.02536093236311622,-0.42252087449003745,-0.99964274458762,-1.0751458578524384
2012-01-20 08:00:00,-0.8920306072235107,-3.2339956821539464,-0.05163722525211302,-0.268485473593449,-0.27858057395536506,-0.16879898913820318,-0.6914202018210045,-0.8000133683946398,-2.0477461267869423,-4.675118609752239,-0.1576891415671138,-0.4138465439560866,-0.3681028574387398,-0.3950227396741577,-0.9858480304325393,-1.041961375098197
2012-01-20 09:00:00,-0.7837845909954749,-1.3662857160176316,-0.07752361238457788,-0.16175491504713282,-0.21000162310115822,-0.13415626287348698,-0.2858819008596901,-0.4025480854275383,-1.906044492543538,-3.9545130920410156,-0.24919215705941927,-0.525405852026849,-0.4950172206565186,-0.3510251551537884,-0.8032896433818266,-0.8440271394305758
2012-01-20 10:00:00,-0.8035240968918418,-0.5034039012888536,-0.08228952023379532,-0.0412456826648921,-0.0685834805777012,-0.13180736450931382,-0.11928341283460678,-0.17347535152231305,-1.8368439582291682,-3.1046697877122167,-0.254565326393049,-0.45220680304835176,-0.444458509299504,-0.31687620225116947,-0.6170719812112307,-0.6038456795436871
2012-01-20 11:00:00,-0.9178018901077581,-0.3198995037468112,-0.11032441247364097,-0.009379712171068514,-0.017752396503219272,-0.1536335491913652,-0.071944036289238,-0.10326891834103333,-2.0206720452729394,-3.068507824068755,-0.29130636772440005,-0.4657699222885696,-0.42572894044799403,-0.3560208636190765,-0.5957533687145191,-0.5653746469482271
2012-01-20 12:00:00,-0.7615966772932693,-0.9992387811786032,-0.08674605526968543,-0.1402242568967824,-0.06438552010560059,-0.12228136009176116,-0.18172358618634304,-0.19744646919824124,-2.126351891330236,-2.9936977108046925,-0.3202400797667066,-0.4406974359833874,-0.2691149871116206,-0.36957924538506953,-0.5636144418142385,-0.49250121053365653
2012-01-20 13:00:00,-0.8579523384675426,-1.5930492961175553,-0.11349406650881394,-0.23697631022354998,-0.16614586642656118,-0.14301104387479813,-0.290082603393314,-0.2734440912022036,-2.252581053698988,-3.2369439286184094,-0.339594917860964,-0.48234724043749,-0.3100378429387585,-0.3970746657361727,-0.611675411909993,-0.5374228111509922
2012-01-20 14:00:00,-0.8963808416576462,-2.0715078785550642,-0.10149807381471242,-0.28180454625202206,-0.23449164233623046,-0.15016680559374176,-0.39276894886341596,-0.37785097886386354,-2.4658094770969194,-3.9925144051868164,-0.3249003027217827,-0.5272608279914677,-0.37871050727331235,-0.4378824739129545,-0.7634727265991277,-0.6582757294787798
2012-01-20 15:00:00,-1.2726207890986945,-3.1620971505467264,-0.0900245456480564,-0.27477427399844817,-0.2815373354571206,-0.215039029580709,-0.6050369903293596,-0.5756338552085704,-2.7869477779450422,-5.656058608687858,-0.2358048876975129,-0.5153986981187186,-0.4144423859340257,-0.4913911150603556,-1.070319479785634,-1.0014660928964565
2012-01-20 16:00:00,-1.9366451115266778,-4.811301902488426,-0.0034670605208937137,-0.009894872109161157,-0.009037105502481527,-0.33452117411431187,-0.9052465072765966,-0.8080871927770894,-3.619727972515083,-7.040152258375671,-0.010088918567361414,-0.01959733119750437,-0.006679479124746969,-0.6294970595355909,-1.2943011117083236,-1.1571845240846488
2012-01-20 17:00:00,-1.8901628548984712,-4.614661561033596,0.0,0.0,0.0,-0.3204480038062931,-0.857041122774216,-0.7554691467236068,-3.7099631074209065,-7.335821630084325,0.0,0.0,0.0,-0.6334264907830539,-1.3247401813067967,-1.1738019777387119
2012-01-20 18:00:00,-1.6385400747249383,-4.623997748355895,0.0,0.0,0.0,-0.265966169115331,-0.8631624269092153,-0.7758169097126415,-3.243947551709823,-7.030589655519441,0.0,0.0,0.0,-0.5395710703918934,-1.2946324856599996,-1.1422335793254133
2012-01-20 19:00:00,-1.8730702922127462,-4.751123975206922,0.0,0.0,0.0,-0.3244484714471233,-0.895532110955721,-0.7904104176064101,-3.679728466727517,-6.693123770760489,0.0,0.0,0.0,-0.6348786756113824,-1.2327314435322838,-1.0504080756134826
2012-01-20 20:00:00,-2.104136055039482,-4.113129785455809,0.0,0.0,0.0,-0.3464596828907069,-0.7408787058216899,-0.5776670593680158,-4.088474271281821,-6.176418867267546,0.0,0.0,0.0,-0.6885981242307625,-1.0947460867499996,-0.8391946717749309
