,GPP_1km,RECO_1km,T2_1km,SWDOWN_1km,NEE_1km,GPP_9km,RECO_9km,T2_9km,SWDOWN_9km,NEE_9km,GPP_54km,RECO_54km,T2_54km,SWDOWN_54km,NEE_54km,GPP_CAMS,RECO_CAMS,T2_CAMS,SWDOWN_CAMS,NEE_CAMS
2012-01-12 00:00:00,0.0,1.0030375719070435,-1.6851179065158854,0.0,1.0030375719070435,0.0,0.6901064897309763,-3.7641225720533193,0.0,0.6901064897309763,0.0,0.656633217178084,-4.848488622814684,0.0,0.656633217178084,0.0,0.38296262969879924,-0.47428098552313,0.0,0.38296262969879924
2012-01-12 01:00:00,0.0,0.9991769790649414,-1.6612468480621227,0.0,0.9991769790649414,0.0,0.676552881360492,-3.813400688150063,0.0,0.676552881360492,0.0,0.620631285312191,-5.033690165945167,0.0,0.620631285312191,0.0,0.3773968003228757,-0.5010593814689542,0.0,0.3773968003228757
2012-01-12 02:00:00,0.0,0.9946953654289246,-1.6496799795673183,0.0,0.9946953654289246,0.0,0.6663244159103489,-3.8101207421262053,0.0,0.6663244159103489,0.0,0.6210926075161086,-4.852713734116638,0.0,0.6210926075161086,0.0,0.3718309709469522,-0.5278377774147784,0.0,0.3718309709469522
2012-01-12 03:00:00,0.0,0.9874655604362488,-1.652363564687131,0.0,0.9874655604362488,0.0,0.6505592778231545,-3.9263479041140186,0.0,0.6505592778231545,0.0,0.6068042350342432,-4.66950026365958,0.0,0.6068042350342432,0.0,0.3662651415710287,-0.5546161733606026,0.0,0.3662651415710287
2012-01-12 04:00:00,0.0,0.9773110747337341,-1.6916835431359258,0.0,0.9773110747337341,0.0,0.6490553953940005,-3.858311923402274,0.0,0.6490553953940005,0.0,0.5862437033075483,-4.713075036683843,0.0,0.5862437033075483,0.0,0.36206574035924627,-0.6846566266022452,0.0,0.36206574035924627
2012-01-12 05:00:00,0.0,0.9656296968460083,-1.748732099482971,0.0,0.9656296968460083,0.0,0.6275321186888445,-4.051497273226863,0.0,0.6275321186888445,0.0,0.5898960697528356,-4.77898613631559,0.0,0.5898960697528356,0.0,0.35786633914746385,-0.8146970798438878,0.0,0.35786633914746385
2012-01-12 06:00:00,0.0,0.9547156691551208,-1.8057527214534987,0.0,0.9547156691551208,0.0,0.6160899131569997,-4.176405635480911,0.0,0.6160899131569997,0.0,0.5415477571357437,-5.197293438189236,0.0,0.5415477571357437,0.0,0.35366693793568144,-0.9447375330855304,0.0,0.35366693793568144
2012-01-12 07:00:00,0.0008317205938510597,0.9528008103370667,-1.8258743695471427,0.6875156760215759,0.9519690871238708,0.0002458540578798336,0.6423322123183601,-3.9631686564544815,0.7517312544473624,0.6420863582604803,3.278375633693941e-05,0.5677518933604736,-4.835428937049924,0.5081615973997111,0.5677191096041366,0.29513826967700507,0.3657467592793888,-0.5727591535051584,14.022331889412694,0.07060848960238375
2012-01-12 08:00:00,0.15870963037014008,1.1529229879379272,-0.6330145290161102,122.35263061523438,0.994213342666626,0.053828848759667196,0.9076357515557654,-1.9062883869308296,124.7245907315097,0.8538069027960982,0.013569248101678847,0.7536380564919432,-2.8947236579905766,125.36318091207536,0.7400688083902643,0.5902765393540101,0.37782658062309626,-0.20078077392478644,28.044663778825388,-0.21244995873091388
2012-01-12 09:00:00,0.3855459988117218,1.3229343891143799,0.3328661208925758,259.5404052734375,0.9373884201049805,0.16721079948584452,1.1305118992155714,-0.5408063815027228,262.6051642267513,0.9633010997297269,0.06699269348423094,0.9604079530936582,-1.4378276897542777,257.61833455444435,0.8934152596094272,0.8854148090310153,0.38990640196680365,0.17119760565558562,42.066995668238086,-0.4955084070642117
